정관사,단어,뜻,중요도,pos,,
das,Aas,썩은 고기,1,noun,,
,abändern,수정하다,1,verb,,
die,Abart,변종,1,noun,,
der,Abbau,"채굴, 철거",1,noun,,
,abbauen,"채굴하다, 철거하다",1,verb,,
die,Abbildung,삽화,1,noun,,
die,Abbitte,사죄,1,noun,,
,abbrechnen,"꺾다, 갑자기 중단하다",2,verb,,
der,Abbruch,"해체, 철거",1,noun,,
,abdanken,해고하다,1,verb,,
,abdecken,뚜껑을 벗기다,1,verb,,
,abdrehen,꼭지를 돌려 잠그다,2,verb,,
der,Abdruck,"인쇄, 인쇄물",1,noun,,
der,Abend,저녁,3,noun,,
das,Abendbrot,저녁식사,1,noun,,
das,Abendessen,저녁식사,1,noun,,
das,Abendland,서양,1,noun,,
,abends,저녁에,2,adverb,,
das,Abenteuer,모험,2,noun,,
der,Aberglauben,미신,1,noun,,
,abfahren,출발하다,3,verb,,
die,Abfahrt,출발,3,noun,,
der,Abfall,폐기물,2,noun,,
,abfallen,떨어지다,1,verb,,
,abfassen,작성하다,1,verb,,
,abfertigen,처리하다,2,verb,,
,abfinden,배상하다,2,verb,,
,abfließen,물이 흐르다,1,verb,,
der,Abflug,이륙,2,noun,,
,abführen,"연행하다, 돌리다",1,verb,,
die,Abgabe,"전달, 발표",1,noun,,
der,Abgang,출발,1,noun,,
,abgeben,제출하다,2,verb,,
,abgedroschen ,진부한,1,verb,,
,abgefeimt,교활한,1,verb,,
,abgehen,출발하다,2,verb,,
,abgelegen,멀리떨어진,1,verb,,
der,Abgeordnete,"대표, 국회의원",2,noun,,
,abgeschmackt,멋없는,1,verb,,
,abgewöhnen,버릇을 고치다,1,verb,,
der,Abgott,우상,1,noun,,
der,Abgrund,심연,1,noun,,
,abhalten,"가까이 못오게 하다, 방해하다",2,verb,,
die,Abhandlung,논문,1,noun,,
,abhängen,의존하다,2,verb,,
,abhängig,의존하는,1,adjective,,
,abhelfen,제거하다,1,verb,,
die,Abhilfe,"제거, 시정",1,noun,,
,abholen,"받다, 마중나가다",2,verb,,
das,Abitur,김나지움의 졸업시험,1,noun,,
,abkommen,"멀어지다, 떨어져나가다",1,verb,,
das,Abkommen,협정,1,noun,,
,abkürzen,잘라서 줄이다,1,verb,,
die,Abkürzen,"단축, 약어",1,noun,,
,abladen,"짐을 내리다, 근심걱정 털어놓다",1,verb,,
der,Ablass,"방출, 유출",1,noun,,
,ablassen,"방출시키다, 팔다",1,verb,,
der,Ablauf,"유출, 하수구",1,noun,,
,ablaufen,"출발하다, 흘러내리다",2,verb,,
,ablegen,"벗다, 떼어내다, 이행하다",2,verb,,
,ablehnen,거절하다,2,verb,,
,ableiten,"도출하다, 유도하다",2,verb,,
die,Ableitung,"유도, 파생",1,noun,,
